#Az(deg)	Alt(deg)	X	Y	Z	tip/xtilt	tilt/ytilt	spin
0	90	-2000	-4000	-8400	-100	25	0
90	90	-2018.27432	-3989.64837	-8465.815246	-99.1359617	23.47676334	0
90	75	-2094.821105	-3969.634515	-8423.182844	-97.46601938	17.09159033	0
90	60	-2176.78391	-3947.66053	-8395.862887	-95.63295826	10.25620062	0
90	45	-2227.31196	-3878.9456	-8340.810186	-89.90122944	6.040367	0
90	30	-2283.29687	-3820.41976	-8269.982836	-85.0201064	1.369044865	0
90	20	-2294.707815	-3780.512485	-8222.328447	-81.69139136	0.41710713	0
179.9	20	-1970.21014	-3538.45324	-8234.685063	-61.5013825	27.48696914	0
179.9	30	-1976.1773	-3584.94508	-8277.973553	-65.37890229	26.98716489	0
179.9	45	-1983.91312	-3671.7737	-8338.574801	-72.62023403	26.34251299	0
179.9	60	-1981.99269	-3781.35803	-8387.567363	-81.76184284	26.50189221	0
179.9	75	-1957.2191	-3896.64421	-8457.271626	-91.37888136	28.56935482	0
179.9	90	-1993.52547	-4005.77753	-8448.591301	-100.4821612	25.54192806	0
0.1	75	-1994.25705	-4142.63685	-8437.001803	-111.8978572	25.48391155	0
0.1	60	-2016.25718	-4237.66421	-8418.950563	-119.8232107	23.65400482	0
0.1	45	-1995.57913	-4295.64326	-8370.335578	-124.6546104	25.39353894	0
0.1	30	-2007.0448	-4348.6996	-8291.465554	-129.0757727	24.46041289	0
270	75	-1892.11615	-4007.19111	-8419.868107	-100.5989865	34.00377792	0
270	60	-1774.49978	-3957.27163	-8373.912474	-96.43142471	43.81486217	0
270	45	-1702.25817	-3863.47378	-8320.918809	-88.60803007	49.83844489	0
270	30	-1617.48715	-3815.88565	-8242.690698	-84.63217333	56.91109318	0
270	20	-1627.7903	-3785.96109	-8173.83808	-82.13865529	56.05254115	0
225	20	-1723.92597	-3651.58457	-8180.691501	-70.93919198	48.02906522	0
225	30	-1741.113715	-3690.14122	-8243.735945	-74.1534494	46.59558071	0
225	45	-1773.839285	-3753.986525	-8317.479678	-79.47894943	43.86594606	0
225	60	-1836.70384	-3831.662325	-8375.362024	-85.95883513	38.62327491	0
225	75	-1915.09047	-3910.372295	-8413.020833	-92.52438821	32.08610958	0
225	90	-1963.26169	-4049.83885	-8434.374651	-104.1602039	28.07519526	0
315	75	-1888.45343	-4088.52088	-8433.68623	-107.3846278	34.31436623	0
315	60	-1775.25017	-4131.41441	-8391.621832	-110.9560998	43.76130939	0
315	45	-1672.1791	-4051.05394	-8337.314399	-104.2485753	52.35329966	0
315	30	-1584.32799	-3900.50987	-8254.485317	-91.6876568	59.67833945	0
45	30	-2309.26068	-3921.54725	-8276.125124	-93.45746199	-0.79169507	0
45	45	-2304.45374	-4061.1701	-8355.704391	-105.1067411	-0.38478516	0
45	60	-2188.66029	-4134.50808	-8410.299479	-111.219722	9.27619065	0
45	75	-2094.04077	-4109.55743	-8449.790372	-109.1405156	17.16534289	0
45	90	-1972.75793	-4002.20966	-8476.473753	-100.1830268	27.27538319	0
135	20	-2198.92787	-3673.94465	-8215.094031	-72.8012101	8.40346792	0
135	30	-2203.00568	-3689.98258	-8259.139091	-74.13793676	8.06319357	0
135	45	-2172.13651	-3747.17234	-8332.077513	-78.90991595	10.63984978	0
135	60	-2116.25726	-3833.93254	-8389.200513	-86.14738968	15.30282626	0
135	90	-2065.97541	-3909.89161	-8421.277812	-92.48645095	19.50520856	0
