 8  , glasses DESI-9.MED  365.015    435.835    486.133    587.562      656.273   852.110    1013.98
            glass  ,      i     ,    g     ,   F      ,   d       ,    C     ,    s     ,    t     ,     
            C1     ,  1.474580  , 1.466730 , 1.463162 , 1.458499  , 1.456402 , 1.452500 , 1.450278 ,
            C2     ,  1.474641  , 1.466791 , 1.463223 , 1.458561  , 1.45646  , 1.452563 , 1.450342 ,
            ADC1   ,  1.536945  , 1.527374 , 1.523070 , 1.517498  , 1.515022 , 1.510508 , 1.508023 ,
            ADC2   ,  1.536225  , 1.526635 , 1.522325 , 1.516746  , 1.514267 , 1.509743 , 1.507246 ,
            C3     ,  1.474555  , 1.466701 , 1.463132 , 1.458467  , 1.45637  , 1.452469 , 1.450245 ,
            C4     ,  1.474555  , 1.466701 , 1.463132 , 1.458467  , 1.45637  , 1.452469 , 1.450245 ,
            FS     ,  1.474555  , 1.466701 , 1.463132 , 1.458467  , 1.45637  , 1.452469 , 1.450245 ,
            BK7    ,  1.53627   , 1.526680 , 1.52238  , 1.51680   , 1.51432  , 1.50980  , 1.50731  ,

   FS and BK7 are g,neric.
   C1- C2- ADC1- AD,2 are melt d,ta from DE,I-2880-v2
   C3- C4 adopting ,eneric.
