#Az     Alt     X       Y       Z       tip/xtilt       tilt/ytilt      spin
0.00 90.00 1140.00 -480.00 430.00 -3.00 25.00 0.00
0.00 20.00 926.14 -1212.65 325.00 42.42 25.07 0.00
45.00 20.00 545.32 -1003.63 325.00 22.62 -1.59 -0.00
90.00 20.00 512.86 -487.87 325.00 -12.19 -12.68 -0.00
135.00 20.00 847.77 32.50 325.00 -41.61 -1.69 -0.00
180.00 20.00 1353.86 252.65 325.00 -48.42 24.93 0.00
225.00 20.00 1734.68 43.63 325.00 -28.62 51.59 0.00
270.00 20.00 1767.14 -472.13 325.00 6.19 62.68 0.00
315.00 20.00 1432.23 -992.50 325.00 35.61 51.69 0.00
0.00 30.00 1105.15 -971.35 340.00 30.41 16.75 0.00
45.00 30.00 620.24 -755.75 340.00 13.84 -3.67 -0.00
90.00 30.00 439.80 -378.62 340.00 -12.59 -7.30 -0.00
135.00 30.00 669.53 -60.87 340.00 -33.41 7.99 0.00
180.00 30.00 1174.85 11.35 340.00 -36.41 33.25 0.00
225.00 30.00 1659.76 -204.25 340.00 -19.84 53.67 0.00
270.00 30.00 1840.20 -581.38 340.00 6.59 57.30 0.00
315.00 30.00 1610.47 -899.13 340.00 27.41 42.01 0.00
0.00 45.00 1117.72 -820.83 362.50 15.16 30.45 0.00
45.00 45.00 718.65 -747.48 362.50 9.74 5.11 0.00
90.00 45.00 566.40 -517.44 362.50 -3.13 -8.58 -0.00
135.00 45.00 750.16 -265.47 362.50 -15.94 -2.60 -0.00
180.00 45.00 1162.28 -139.17 362.50 -21.16 19.55 0.00
225.00 45.00 1561.35 -212.52 362.50 -15.74 44.89 0.00
270.00 45.00 1713.60 -442.56 362.50 -2.87 58.58 0.00
315.00 45.00 1529.84 -694.53 362.50 9.94 52.60 0.00
0.00 60.00 1163.89 -689.82 385.00 13.81 24.20 0.00
45.00 60.00 929.30 -676.63 385.00 10.73 14.76 0.00
90.00 60.00 818.14 -548.26 385.00 -0.40 11.32 0.00
135.00 60.00 895.52 -379.90 385.00 -13.05 15.89 0.00
180.00 60.00 1116.11 -270.18 385.00 -19.81 25.80 0.00
225.00 60.00 1350.70 -283.37 385.00 -16.73 35.24 0.00
270.00 60.00 1461.86 -411.74 385.00 -5.60 38.68 0.00
315.00 60.00 1384.48 -580.10 385.00 7.05 34.11 0.00
0.00 75.00 1143.17 -727.36 407.50 5.12 34.94 0.00
45.00 75.00 940.10 -611.37 407.50 1.05 18.81 0.00
90.00 75.00 854.14 -418.42 407.50 -5.39 6.30 0.00
135.00 75.00 935.63 -261.55 407.50 -10.44 4.75 0.00
180.00 75.00 1136.83 -232.64 407.50 -11.12 15.06 0.00
225.00 75.00 1339.90 -348.63 407.50 -7.05 31.19 0.00
270.00 75.00 1425.86 -541.58 407.50 -0.61 43.70 0.00
315.00 75.00 1344.37 -698.45 407.50 4.44 45.25 0.00
