#T CIN CIW CIC CIE CIS 
8.3 -8563.70 -8572.39 1 -8572.39 -8563.70 
7.2 -8555.00 -8555.00 -8511.52 -8572.39 -8563.70
5.7 -8328.88 -8207.17 1 1 -8207.17
4.1 -8096.69 -8105.68 -8096.69 -8105.68 -8078.72
17.0 -9765.22 -9747.83 -9756.52 -9739.13 -9695.65
16.5 -9671.74 -9671.74 -9671.74 -9680.43 -9680.43
15.7 -9541.30 -9550.00 -9532.61 -9723.91 -9532.61
14.7 -9550.00 -9341.30 -9358.70 -9541.30 -9584.78
14.5 -9367.39 -9471.74 -9445.65 -9376.09 -9454.35
13.1 -9336.96 -9310.87 -9310.87 -9397.83 -9363.04
11.3 -8996.38 -9012.32 -9394.93 -9299.28 -9028.26
17.7 -9626.53 -9618.37 -9553.06 -9659.18 -9642.86
17.8 -9630.77 -9592.31 -9600.00 -9646.15 -9623.08
17.7 -9592.31 -9584.62 -9569.23 -9630.77 -9584.62
17.3 -9636.96 -9471.74 -9393.48 -9523.91 -9463.04
17.3 -9367.39 -9410.87 -9419.57 -9402.17 -9419.57
16.9 -9506.52 -9489.13 -9445.65 -9515.22 -9497.83
16.9 -9506.52 -9532.61 -9315.22 -9506.52 -9515.22
16.8 -9506.52 -9471.74 -9471.74 -9497.83 -9489.13
16.7 -9497.83 -9489.13 -9463.04 -9532.61 -9550.00
16.6 -9471.74 -9463.04 -9428.26 -9506.52 -9515.22
