#CIN CIW CIC CIE CIS expmin psf_CIN psf_CIW psf_CIC psf_CIE psf_CIS date
#Use polyfit number unless VI suggests interp is better
-8907. -8949. -8958. -8921. -8921. 3300 0.83 0.78 0.64 1.0 1.09 20190401 
-8551. -8536. -8544. -8581. -8581. 3834 0.78 0.97 0.88 0.83 1.06 20190403 
-8678. -8655. -8659. -8700. -8669. 3948 1.04 1.16 1.16 1.11 1.29 20190404
-8660. -8656. -8628. -8688. -8651. 3994 1.3 1.6 1.3 1.37 1.62 20190404  
-8411. -8429. -8383. -8494. -8406. 4408 0.92 1.12 1.08 0.94 1.01 20190406 
-9072. -9063. -9020. -9115. -9072. 4901 0.88 0.87 0.78 0.78 0.78 20190407 
-8878. -8912. -8861. -8939. -8962. 4770 0.93 0.94 0.89 0.93 0.87 20190407 
-8957. -8957. -8896. -8891. -8983. 4787 0.93 1.12 0.88 1.10 1.0  20190407 
-8922. -8887. -8896. -8939. -8930. 4748 1.08 1.10 0.86 0.91 0.91 20190407 
-8917. -8891 -8926. -8917. -8900. 4620 1.01 1.03 1.06 1.20 1.38 20190407 
-9612. -9596. -9588. -9637. -9604. 5006 1.26 1.36 1.20 1.38 1.42 20190408 
-9515. -9480. -9454. -9524. -9489. 5129 1.14 1.16 0.90 0.98 1.33 20190408 
-9463. -9489. -9454. -9533. -9515. 5228 0.89 0.96 0.98 0.90 0.94 20190408 
-9498. -9507 -9428. -9524. -9498. 5237 0.85 0.94 0.95 0.85 0.88 20190408 
-9489. -9454. -9472. -9498. -9498. 5246 0.94 0.91 0.92 0.81 0.79 20190408 
-9498. -9489. -9446. -9489. -9498. 5255 0.99 1.02 1.01 0.87 0.9 20190408 
-9472. -9489. -9428. -9454. -9507. 5267 0.84 0.91 0.89 0.8 0.86 20190408 
-9654. -9663. -9663. -9680. -9647. 5405 1.0 0.93 0.91 0.95 0.93 20190409 
-9550. -9576. -9524. -9628. -9524. 5467 1.2 1.17 1.01 1.22 1.12 20190409 
-9480. -9480. -9463. -9498. -9498. 5538 1.16 1.42 1.23 1.0 1.18 20190409 
-9489. -9480. -9454. -9428. -9463. 5548 1.38 1.23 1.24 0.97 1.34 20190409 
-9311. -9320. -9311. -9363. -9320. 5629 1.17 1.23 1.19 1.14 1.28 20190409 
-8061. -8052. -8050. -8061. -8025. 6019 1.42 1.51 1.48 1.47 1.62 20190410 
-8098. -8089. -8011. -8141. -8037. 6443 1.06 1.05 0.92 1.07 1.00 20190412 
-8123. -8121. -8116. -8109. -8112. 6457 1.63 1.61 1.52 1.73 1.71 20190412 
-9043. -9052. -9017. -9043. -9008. 7060 1.26 1.25 1.18 1.36 1.33 20190414
-8958. -8927. -8931. -8962. -8953. 7079 1.08 1.16 1.05 1.07 1.13 20190414 
-8803. -8822. -8757. -8803. -8855. 7117 1.51 1.89 1.57 1.84 1.71 20190415 
-8616. -8608. -8582. -8625. -8651. 7218 1.11 1.18 1.25 1.22 1.27 20190415 
-8646. -8638. -8589. -8681. -8699. 7208 1.15 1.15 1.2 1.34 1.30 20190415 
-8483. -8465. -8439. -8491. -8500. 7315 1.08 1.11 0.98 1.1 1.07 20190415 
-8434. -8408. -8400. -8469. -8417. 7515 0.77 0.85 0.81 0.79 0.77 20190417
-9325. -9317. -9308. -9343. -9291. 7715 1.51 1.67 1.49 1.52 1.67 20190418
-9265. -9265. -9230. -9317. -9283. 7969 1.17 1.23 1.10 1.20 1.15 20190418
-9731. -9775. -9731. -9749. -9714. 8059 1.46 1.44 1.49 1.54 1.52 20190419
-9495. -9539. -9530. -9547. -9504. 8146 1.35 1.35 1.23 1.26 1.37 20190419
-9413. -9421. -9378. -9456. -9413. 8276 1.34 1.31 1.29 1.30 1.34 20190419
-9283. -9231. -9231. -9275. -9249. 8351 1.06 1.11 1.02 1.08 1.31 20190420
-9105. -9079. -9070. -9123. -9097. 8539 1.11 1.06 1.02 1.17 1.13 20190421
-8802. -8802. -8793. -8846. -8854. 8653 1.02 1.02 0.90 1.1 1.23 20190421
-8862. -8888. -8827. -8823. -8870. 8972 1.09 1.22 1.06 1.02 1.14 20190422
-8879. -8888. -8853. -8814. -8862. 8981. 0.92 0.98 0.91 0.94 1.04 20190422
-8739. -8756. -8730. -8808. -8791. 9191 0.89 0.89 0.83 1.1 1.0 20190423
-8747. -8782. -8739. -8773. -8756. 9234 0.99 1.08 1.07 1.06 1.09 20190423
-9426. -9400. -9391. -9443. -9383. 9941 0.38 0.48 0.44 0.43 0.75 20190427


 







