#start_expnum focus_est truss_temp el az mirtemp psf_size date
#21162 -35 14.1 88.7 272.0 13.2 20191025 #plot is wiggly, so removed
20265 -600 16.4 87.6 269.3 15.2 1.1 20191023
20700 -310 13.4 66.2 114.6 14.6 2.7 20191024
20906 -130 11.9 71.9 275.8 13.5 3.3 20191024
21012 -200 14.9 86.4 270.0 12.7 1.1 20191025
21031 -250 14.9 57.5 271.5 12.7 1.2 20191025
21046 -200 14.9 74.8 270.1 12.8 1.1 20191025
21055 -240 14.8 44.5 270.3 12.8 1.2 20191025
21067 -280 14.6 30.0 270.0 12.8 1.5 20191025
21075 -170 14.8 89.7 253.1 12.8 1.0 20191025
21094 -300 14.6 26.8 271.9 12.9 2.0 20191025
21324 -150 14.1 88.6 269.7 13.3 1.0 20191025
21384 -300 14.3 29.1 270.1 13.5 1.6 20191025
21421 -250 14.4 43.0 271.2 13.5 1.4 20191025
21430 -200 14.3 59.5 270.3 13.6 1.2 20191025
21611 -180 14.9 88.2 271.7 13.6 1.2 20191026
21642 -345 14.8 34.0 270.6 13.7 1.1 20191026
21651 -260 14.8 59.7 270.2 13.8 1.0 20191026
21660 -300 14.7 44.7 270.2 13.7 1.1 20191026
21678 -195 14.5 59.5 270.3 13.7 1.35 20191026
21755 -155 13.9 89.7 277.8 13.7 1.0 20191026
22280 -85 10.9 0 0 0 1.5 20191028
22332 400 8.7 0 0 0 1.0 20191028
22593 610 6.6 0 0 0 1.6 20191029 
22787 450 8.1 0 0 0 1.6 20191030
22807 600 8.7 0 0 0 1.25 20191030
23051 550 9.3 0 0 0 1.25 20191030
23059 550 9.3 0 0 0 1.2 20191030
23178 500 9.7 0 0 0 1.1 20191030
23265 150 12.2 0 0 0 1.0 20191031
23376 120 11.9 0 0 0 1.0 20191031
23518 -300 16.7 0 0 0 1.0 20191101
23551 -330 16.1 0 0 0 1.2 20191101
23626 -570 16.4 0 0 0 1.0 20191102
23769 -500 16.3 0 0 0 1.0 20191102
23777 -490 16.4 0 0 0 1.0 20191102
23793 -450 15.6 0 0 0 1.0 20191102
23867 -700 16.0 0 0 0 1.2 20191103
23933 -500 15.0 0 0 0 1.0 20191103
23977 -250 14.5 0 0 0 1.0 20191103
24263 -300 14.2 0 0 0 1.0 20191104
24286 -190 13.8 0 0 0 1.0 20191104
24396 -130 13.5 0 0 0 1.0 20191104
24479 -370 15.3 0 0 0 1.2 20191105
24930 -310 14.4 0 0 0 1.25 20191106
25044 -50 12.4 0 0 0 1.2 20191106
25161 20 12.6 0 0 0 1.4 20191106
