#TDBTEMP THINGES THINGEW TPMAVERT TPMDESIT TTRSTEMP TTRWTEMP TRUSTEMP 
16.1 16.4 17.0 15.674 14.2 16.0 15.7 16.5 
14.8 13.0 15.8 14.383 13.6 12.5 13.0 13.333 
13.1 11.6 12.8 12.977 13.6 11.0 10.7 11.567 
12.9 15.0 13.3 12.835 9.5 14.6 13.9 14.967 
12.5 15.0 13.5 12.812 9.5 14.8 14.2 14.967 
13.0 14.9 13.5 12.927 9.5 14.6 14.2 14.9 
12.5 15.0 13.5 12.984 9.5 14.7 14.2 14.867 
12.6 15.1 13.3 12.955 9.5 14.6 14.1 14.8 
13.1 15.0 13.5 12.973 9.5 14.6 14.0 14.7 
12.9 14.9 13.4 13.057 9.5 14.5 14.0 14.533 
13.7 14.2 13.6 13.239 9.5 13.9 13.4 14.2 
13.8 14.0 13.6 13.356 9.5 13.9 13.7 14.133 
13.6 14.8 13.7 13.526 9.5 14.1 13.5 14.333 
13.5 14.8 13.6 13.545 11.0 14.4 13.7 14.433 
13.8 14.6 13.8 13.537 11.0 14.2 13.6 14.233 
14.3 15.0 14.9 13.916 11.0 14.6 14.3 14.867 
14.0 15.1 15.0 13.906 11.0 14.9 14.5 14.967 
14.0 15.0 14.8 13.88 11.0 14.4 14.2 14.767 
13.7 15.0 14.9 13.893 11.0 14.7 14.3 14.767 
14.1 14.6 14.8 13.839 11.0 14.4 13.9 14.567 
14.2 14.2 14.6 13.612 11.0 13.5 13.4 14.0 
11.3 10.7 12.9 10.923 9.5 9.9 10.1 10.867 
10.5 8.8 11.0 10.125 9.5 8.2 8.1 8.733 
