#TARGTEL TARGTAZ TDBTEMP THINGES THINGEW TPMAVERT TPMDESIT TTRSTEMP TTRWTEMP PMIRTEMP TPMNIBT TCSITEMP TCSOTEMP TAIRTEMP TRUSTEMP 
87.612889 269.320629 16.1 16.4 17.0 15.674 14.2 16.0 15.7 15.662 15.2 16.5 16.7 15.01 16.5 
66.202808 114.57143 14.8 13.0 15.8 14.383 13.6 12.5 13.0 14.362 14.6 14.8 14.6 11.83 13.333 
71.915227 275.817769 13.1 11.6 12.8 12.977 13.6 11.0 10.7 12.938 13.5 12.7 12.5 10.235 11.567 
86.403006 269.874017 12.9 15.0 13.3 12.835 9.5 14.6 13.9 12.875 12.7 13.2 14.3 13.59 14.967 
57.540868 271.507118 12.5 15.0 13.5 12.812 9.5 14.8 14.2 12.838 12.7 13.4 14.4 13.565 14.967 
74.812485 270.1163 13.0 14.9 13.5 12.927 9.5 14.6 14.2 12.912 12.8 13.5 14.4 13.525 14.9 
44.529816 270.292199 12.5 15.0 13.5 12.984 9.5 14.7 14.2 12.975 12.8 13.5 14.4 13.515 14.867 
29.994151 270.003649 12.6 15.1 13.3 12.955 9.5 14.6 14.1 12.962 12.8 13.5 14.4 13.36 14.8 
89.702376 253.05159 13.1 15.0 13.5 12.973 9.5 14.6 14.0 13.0 12.8 13.6 14.5 13.478 14.7 
26.834563 271.946941 12.9 14.9 13.4 13.057 9.5 14.5 14.0 13.025 12.9 13.6 14.3 13.46 14.533 
88.557049 269.737492 13.8 14.0 13.6 13.356 9.5 13.9 13.7 13.375 13.3 13.9 14.0 12.59 14.133 
29.128589 270.087675 13.6 14.8 13.7 13.526 9.5 14.1 13.5 13.512 13.5 14.0 14.3 13.482 14.333 
43.027723 271.210738 13.5 14.8 13.6 13.545 11.0 14.4 13.7 13.512 13.5 14.0 14.3 13.015 14.433 
59.473091 270.326216 13.8 14.6 13.8 13.537 11.0 14.2 13.6 13.55 13.6 14.1 14.3 13.055 14.233 
88.200418 271.730824 14.3 15.0 14.9 13.916 11.0 14.6 14.3 13.925 13.6 14.5 14.9 13.483 14.867 
34.000606 270.619913 14.0 15.1 15.0 13.906 11.0 14.9 14.5 13.925 13.7 14.4 14.8 13.637 14.967 
59.688438 270.193504 14.0 15.0 14.8 13.88 11.0 14.4 14.2 13.875 13.8 14.4 14.8 13.535 14.767 
44.734886 270.165046 13.7 15.0 14.9 13.893 11.0 14.7 14.3 13.912 13.7 14.5 14.8 13.51 14.767 
59.523599 270.295162 14.1 14.6 14.8 13.839 11.0 14.4 13.9 13.812 13.7 14.4 14.6 13.18 14.567 
89.694413 277.790026 14.2 14.2 14.6 13.612 11.0 13.5 13.4 13.625 13.7 14.0 14.0 12.63 14.0 
81.959948 272.776108 11.3 10.7 12.9 10.923 9.5 9.9 10.1 10.887 11.2 11.5 12.2 9.32 10.867 
87.415181 271.620875 10.5 8.8 11.0 10.125 9.5 8.2 8.1 10.1 10.6 9.9 8.8 7.377 8.733 
57.926558 250.156201 9.0 6.9 8.6 8.51 9.5 6.0 6.0 8.488 8.9 8.0 7.3 5.387 6.6 
89.361538 273.49604 8.8 8.0 8.9 8.726 4.0 7.4 7.4 8.762 8.8 8.8 9.2 6.79 8.133 
86.693539 269.525319 8.8 8.6 8.8 8.547 4.0 8.4 8.0 8.512 8.7 8.4 8.2 7.378 8.833 
89.522128 268.291574 9.2 9.3 9.1 9.109 4.0 8.7 8.7 9.125 9.0 8.8 9.0 8.022 9.333 
87.14044 270.581848 9.2 9.4 9.1 9.077 4.0 8.8 8.4 9.062 9.2 8.8 9.0 7.983 9.3 
86.998494 271.637623 9.4 9.7 9.2 9.192 4.0 9.2 8.9 9.2 9.3 9.1 9.3 8.345 9.7 
83.10187 272.461011 11.3 12.3 11.7 10.939 5.0 11.7 11.6 10.938 10.9 11.4 11.8 10.805 12.133 
89.082644 272.579538 11.4 12.1 11.4 11.026 5.0 11.3 11.2 11.012 10.9 11.5 11.8 10.815 11.867 
83.017577 261.350643 12.4 16.4 14.3 12.678 5.0 16.5 16.3 12.663 11.7 13.5 15.3 15.275 16.7 
89.714016 262.069173 13.6 16.1 14.3 13.237 5.0 15.8 15.4 13.275 12.6 14.3 15.6 14.955 16.1 
89.587612 267.462347 13.6 16.5 15.7 13.177 10.0 16.2 16.0 13.175 12.7 14.4 15.8 15.232 16.533 
89.599273 261.085257 14.4 16.3 15.7 13.855 10.0 16.1 15.8 13.875 13.3 15.1 16.1 14.92 16.3 
88.185027 268.577849 14.5 16.4 15.7 13.89 10.0 15.9 15.7 13.888 13.4 15.0 15.9 14.915 16.3 
89.656693 280.686262 14.7 15.6 15.6 14.03 10.0 15.3 15.2 14.037 13.7 15.1 15.7 14.345 15.733 
